c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen",3
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3
"INT 1010","Introduction au développement international","Cours avec examen",3
"POL 1010","Introductioon aux relations internationales","Cours sans examen",3
"ADM 2024","Relations Nord-Sud","Information manquante",3
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",3
"ECO 2021","Économie responsable","Cours avec examen",3
"ENV 4012","Environnement international","Cours sans examen",3
"INT 2010","Migrations internationales","Cours avec examen",3
"INT 2030","Coopération internationale, gouvernance et développement démocratique","Cours avec examen",3
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",3
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3
"ECO 2015","Économie internationale","Cours avec examen",3
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"GEO 2001","Introduction à la géographie humaine","Cours sans examen",3
"GEO 2007","États, territoires et sociétés","Cours sans examen",3
"INT 2020","Théories internationales et mondialisation","Cours avec examen",3
"LIT 4007","Roman et mondialisation","Cours sans examen",3
"POL 4000","Politique étrangère des États-Unis","Cours avec examen",3
"POL 4600","Dynamiques de pouvoirs au Moyen-Orient","Cours avec examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"HIS 1060","Introduction à l'histoire du Québec","Cours avec examen",3
"EDU 1010","Organisation de l'éducation au Québec","Cours sans examen",3
"GEO 2005","Géographie du Québec","Cours sans examen",3
"HIS 1071","La société québécoise de la crise à l'après-guerre (1920-1960)","Cours avec examen",3
"HIS 1072","La société québécoise de la Révolution tranquile (1960-1980)","Cours avec examen",3
"HIS 4000","Nouvelle France : origines d'un peuple","Cours avec examen",3
"POL 3000","Québec : état et société","Cours avec examen",3
"HIS 1075","Histoire des sciences au Québec","Cours avec examen",3
"HIS 2002","Histoire culturelle du comique au Québec","Cours avec examen",3
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",3
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",3
"PSY 1013","Méthodes de recherche en psychologie","Cours avec examen",3
"PSY 3500","Activité d'intégration","Cours sans examen",3
"PSY 1110","Intrduction à l'histoire de la psychologie","Cours avec examen",3
"PSY 1300","Introduction à la psychologie de la personnalité","Cours sans examen",3
"PSY 4001","Introductionà la psychologie cognitive","Cours sans examen",3
"PSY 1200","Développement de l'enfant","Cours avec examen",3
"PSY 1210","Psychologie d l'adolescence","Cours avec examen",3
"PSY 1220","Psychologie de la vie adulte","Cours sans examen",3
"PSY 1310","Approches de la psychopathologie","Cours sans examen",3
"PSY 1320","Les psychothérapies","Cours sans examen",3
"PSY 1400","Introductionà la psychologie de la santé","Cours sans examen",3
"PSY 1405","Psychologie et promotion de la santé","Cours sans examen",3
"PSY 1323","Motivation et émotions","Cours sans examen",3
"PSY 3005","Psychologie sociale","Cours avec examen",3
"PSY 3007","Psychologie en contexte de diversité culturelle","Cours avec examen",3
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3
"PSY 1015","Intrduction à la psichométrie","Cours avec examen",3
"STA 1001","Méthodes quantitatives en sciences humaines","Cours avec examen",3
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen",3
"SCS 4001","Enjeux sociaux contemporains","Cours sans examen",3
"SHS 2100","Société et sociétés","Cours avec examen",3
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3
"GEO 2001","Introduction à la géographie humaine","Cours sans examen",3
"PHI 2011","Épistémologie des sciences et des techniques","Cours avec examen",3
"PHI 3009","Introduction à la logique et aux probabilités","Cours avec examen",3
"SHS 2502","Récit et projet de formation","Cours sans examen",3
"STA 1001","Méthodes quantitatives en sciences humaines","Cours avec examen",3
"ADM 1404","Travail et société","Cours avec examen",3
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",3
"ECO 2011","Économie du Québec","Cours avec examen",3
"ECO 2400","Analyse macroéconomique","Cours avec examen",3
"ECO 3003","Économie du travail","Cours avec examen",3
"PSY 3010","Psychologie du travail et des organisations","Cours avec examen",3
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3
"COM 2000","Histoire des communications","Cours avec examen",3
"HIS 1060","Introduction à l'histoire du Québec","Cours avec examen",3
"HIS 1071","La société québécoise de la crise à l'après-guerre (1920-1960)","Cours avec examen",3
"HIS 1072","La société québécoise de la Révolution tranquile (1960-1980)","Cours avec examen",3
"HIS 1075","Histoire des sciences au Québec","Cours avec examen",3
"HIS 4000","Nouvelle France : origines d'un peuple","Cours avec examen",3
"LIN 2001","Langue française: histoire générale et spécifique québécoise","Cours sans examen",3
"POL 1010","Introductioon aux relations internationales","Cours sans examen",3
"POL 3000","Québec : état et société","Cours avec examen",3
"POL 4000","Politique étrangère des États-Unis","Cours avec examen",3
"POL 4600","Dynamiques de pouvoirs au Moyen-Orient","Cours avec examen",3
"SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance","Cours sans examen",3
"COM 3000","Droits et enjeux de la communication","Cours avec examen",3
"COM 3030","La communication interculturelle: une introduction","Cours avec examen",3
"GEO 2002","Introduction à la géographie du tourisme","Cours sans examen",3
"GEO 2003","Introduction à la géographie urbaine","Cours sans examen",3
"GEO 2004","Espaces francophones minoritaires du Canada","Cours sans examen",3
"GEO 2005","Géographie du Québec","Cours sans examen",3
"GEO 2006","Espace social","Cours sans examen",3
"GEO 2007","États, territoires et sociétés","Cours sans examen",3
"HIS 2002","Histoire culturelle du comique au Québec","Cours avec examen",3
"LIN 1001","Langue et société","Cours avec examen",3
"LIT 4001","Littérature de masse","Cours sans examen",3
"LIT 4004","Littérature pour enfants","Cours sans examen",3
"LIT 4006","Conteurs et nouvelistes québécois :  de Fred Pellerin à Louis Fréchette ","Cours sans examen",3
"PSY 3005","Psychologie sociale","Cours avec examen",3
"SOC 4002","Sociétés industrielle et postindustrielle","Cours avec examen",3
"SAM 4040","Travail dirigé","Cours sans examen",3
"SAM 4020","Enjeux cliniques et éthiques","Cours sans examen",3
"SAM 4050","Histoire de vie, formation et intervention","Cours sans examen",3
"SAM 4100","La médication psychriatrique","Cours sans examen",3
"SAM 4110","Développement affectif de l'enfant de 0 à 12 ans et prévention en santé mentale","Cours avec examen",3
"SAM 4120","Jeunes et santé mentale","Cours sans examen",3
"SAM 4160","Proches aidants et intervention en santé mentale","Cours sans examen",3
"SAM 4220","Clinique des cas difficiles","Cours sans examen",3
"SAM 4250","Intervention communautaire","Cours sans examen",3
"SAM 4320","Histoire de la prise en charge des troubles mentaux au Québec","Cours sans examen",3
"SAM 4350",Psychopathologie,"Cours sans examen",3
"SAM 4400","Travail et santé mentale","Cours sans examen",3
"SAM 4450","Séminaire de cas clinique 1 ","Cours sans examen",3
"SAM 4455","Séminaire de cas clinique 2","Cours sans examen",3
